id,title,context,question,answers
134,Eevee,"Eevee its a Normal first generation Pokemon that Eevee is often considered among the ""cutest"" Pokémon in the franchise. Due to this, Eevee is featured on various Pokémon-related merchandise. It is the mascot of Pokémon: Let's Go, Eevee! Eevee has exclusive evolution styles, where each evolution requires special requirements to occur, resulting in 8 different Pokémon. Eevee is rarely found in the wild and is mostly only found in cities and towns. However, it is said to have an irregularly shaped genetic structure that is easily influenced by its environment or though the radiation of certain stones. This allows it to adapt to a variety of habitats by evolving into eight different evolutions. Some call it and its evolutions the ""Eeveelutions"". Eevee can also adapt the face of the Trainer that owns it, and Eevee's genes are believed to have the key to solving the mysteries of Pokémon evolution. Its Gigantamax form is bigger and has a thicker fur around his neck.",Whats the type of Eevee?,"{'answer_start': [12], 'text': ['Normal']}"
135,Vaporeon,"Vaporeon its a Water first generation Pokemon that Its genes and DNA are similar to that of water, so as soon as it touches water, it looks like it just melted away. If its fins begin to mutate, it means it'll rain in a couple of hours. It now has the ability to freely control water and its tail has gotten people often mistaking it for a mermaid. It evolves from Eevee using a Water Stone.",Whats the type of Vaporeon?,"{'answer_start': [15], 'text': ['Water']}"
136,Jolteon,"Jolteon its a Electric first generation Pokemon that Jolteon and Zapdos's romanized Japanese names are almost exactly the same as each other's, with a final 's' being the only difference. It accumulates negative ions in the air to dish out 10,000 volt discharges. Its a really moody Pokemon, easily becoming sad or angry. Its fur is like spikes and can be launched to pierce enemies when it bristles. Jolteons cells emit a low amount of electricity, which is amplified by its fur. If its hair stands on end, it's about to discharge. Sometimes lighting can strike next to it and its lungs contain an organ that creates electricity. The crackling sound of electricity can be heard when it exhales. It evolves from Eevee using a Thunder Stone.",Whats the type of Jolteon?,"{'answer_start': [14], 'text': ['Electric']}"
137,Flareon,"Flareon its a Fire first generation Pokemon that Flareon shares its category name with Charmeleon, Charizard, Moltres, and Infernape, who are all known as the Flame Pokémon. It stores fire over 1,650°F inside its flame sac, then releases it at over 3,000°F. Its fur actually has a function, its used to air out its body so it doesn't overheat.",Whats the type of Flareon?,"{'answer_start': [14], 'text': ['Fire']}"
138,Porygon,"Porygon its a Normal first generation Pokemon that Porygon has become notorious for being featured in an episode of the anime that caused widespread epileptic seizures in Japanese viewers. Roughly made about 20 years ago, it's entirely made of programming code. It can enter cyberspace at will. People theorized it could go into space, though no one has managed to do so. It has no heartbeat and doesn't need to eat, though it can eat if food is given. Because of this, people are eager to try it in any environment. It's copy-protected so it cannot be duplicated. Using the most advanced technology at the time, scientists have made the first man made pokemon, dreaming of exploring space. Nowadays, it's actually very useful in cyberspace, as it goes around making sure no suspicious data exists. It is one of many human-designed Pokémon. It gained an evolution in Generation II, Porygon2.",Whats the type of Porygon?,"{'answer_start': [14], 'text': ['Normal']}"
139,Omanyte,Omanyte its a Rock first generation Pokemon that It is a fossil Pokémon that must be revived from the helix fossil that is based on ammonites.,Whats the type of Omanyte?,"{'answer_start': [14], 'text': ['Rock']}"
140,Omastar,"Omastar its a Rock first generation Pokemon that Omastar is very popular in the community and commonly referred to as ""Lord Helix"". This is a reference to Twitch Plays Pokémon, where the Pokémon was seen as a good-luck charm.",Whats the type of Omastar?,"{'answer_start': [14], 'text': ['Rock']}"
141,Kabuto,Kabuto its a Rock first generation Pokemon that It is a fossil Pokémon that must be revived from the dome fossil. It is based on the trilobite.,Whats the type of Kabuto?,"{'answer_start': [13], 'text': ['Rock']}"
142,Kabutops,Kabutops its a Rock first generation Pokemon that Its slender body makes it a very fast swimmer. Its appearance is similar to Scyther due to its blade-esque forearms.,Whats the type of Kabutops?,"{'answer_start': [15], 'text': ['Rock']}"
143,Aerodactyl,"Aerodactyl its a Rock first generation Pokemon that It is a fossil Pokémon that must be revived from the Old Amber. A vicious, prehistoric Pokemon, it goes for its opponents' throat with its serrated, saw-like fangs that shred the skin of even Sttel type Pokemon. It went extinct, but it was resurrected by taking its DNA from an Old Amber. It appears to be able to fly by spreading its wings and gliding fearlessly though the skies as if it was its own. It was imagined to be the king of the skies while shrieking high-pitched cries. A widely accepted theory is that it went extinct due to a meteor impact. It exhibited ferocity that was greater than expected, resulting in some casualties. When it touched ground however, it was weak and slow. Surprisingly, even modern technology are still unable to make a truly perfect specimen. It is based on pterodactyls and dragons/wyverns.",Whats the type of Aerodactyl?,"{'answer_start': [17], 'text': ['Rock']}"
144,Snorlax,"Snorlax its a Normal first generation Pokemon that It is carefree about everything, and it will allow children to play on its vast belly while it sleeps all day. After eating around 500 pounds of food, it goes flat to sleep for a while. Its appearance is a large, obese bear like Pokémon with blueish-green body and a white circle-shaped belly, white feet and face. In the games, it blocks the way forward, and can only be awoken with the PokeFlute. In Generation IV it gained a pre-evolution, Munchlax. Its Gigantamax form has a ecosystem growing on it.",Whats the type of Snorlax?,"{'answer_start': [14], 'text': ['Normal']}"
145,Articuno,"Articuno its a Ice first generation Pokemon that It is part of the Legendary Bird Trio. The naming conventions for this trio are based on their type – Arctic, Zap and Molt – along with 1, 2, 3 in Spanish – uno, dos, tres respectively.
This Legendary Pokemon is said to appear to doomed people who are lost in icy mountains. Articuno can control snow, and it freezes moisture in the air to make it snow, and where ever it flies, snow is constantly falling, creating blizzards. Its lovely, seemingly translucent wings are said to be made out of ice. Its Galarian form is a Psychic/Flying type.",Whats the type of Articuno?,"{'answer_start': [15], 'text': ['Ice']}"
146,Zapdos,"Zapdos its a Electric first generation Pokemon that It is part of the Legendary Bird Trio. Its design is inspired by the Indigenous North American myth of the thunderbird. This Legendary Pokemon is said to cause and appear from dark and gray clouds in the sky while dropping huge thunderbolts. It flies with the crackle and buzz of electricity. It has the power to control electricity and anyone that gets struck by its lightning can gain power from it. It's said that when it rubs its feathers together, lightning will fall immediately after and there are tales of Zapdos resting in pitch black thunderclouds. Its Galarian form is a Fighting/Flying type.",Whats the type of Zapdos?,"{'answer_start': [13], 'text': ['Electric']}"
147,Moltres,"Moltres its a Fire first generation Pokemon that It is part of the Legendary Bird Trio. Its design is inspired by the firebird of Slavic folklore. This Legendary Pokemon can make the sky turn red as it flaps its fiery wings, creating a dazzling flash of fire. It's truly a sight to see. It's said to bring spring early when it arrives to lands. If Moltres is injured, it's said to dip itself in magma to burn and heal itself. Those who see it are overwhelmed by its orange fiery wings. There are stories that tell of its fire cloaked wings lighting up paths for those lost traveling in the mountains. Its Galarian form is a Dark/Flying type.",Whats the type of Moltres?,"{'answer_start': [14], 'text': ['Fire']}"
148,Dratini,Dratini its a Dragon first generation Pokemon that Its existence was unknown until a fisherman pulled it up after fishing for about ten hours. It appears as a blue serpentine creature. It has been seen to grow to several sizes in the anime.,Whats the type of Dratini?,"{'answer_start': [14], 'text': ['Dragon']}"
149,Dragonair,"Dragonair its a Dragon first generation Pokemon that Dragonair are longer in length (and bigger in size) than Dratinis, have wings for ears, and can fly using an unknown power.",Whats the type of Dragonair?,"{'answer_start': [0], 'text': ['Dragon']}"
150,Dragonite,"Dragonite its a Dragon first generation Pokemon that It is a large orange dragon Pokémon that flies at high-speed. It zooms off over seas to challenge other Pokémon. It has been reputed to guide saliors in storms to the nearest land. Unlike Charizard, it actually is a dragon in both appearance and type.",Whats the type of Dragonite?,"{'answer_start': [0], 'text': ['Dragon']}"
151,Mewtwo,"Mewtwo its a Psychic first generation Pokemon that It is one of the playable characters in Super Smash Bros. Melee, Super Smash Bros. for Nintendo 3DS / Wii U and Super Smash Bros. Ultimate. This Legendary Pokemon was created in a lab after years of horrific gene splicing from Mew's DNA. Its DNA is actually almost the same as Mew's, but its body is size are vastly different. It's cold, glowing eyes strike fear into its foes. Because its psychic abilies were raised to the ultimate level, it only thinks about defeating its enemies as it rests in an undiscovered cave. But even though it has powerful body, scientists failed to give it a compassionate heart and it turned vicious as a result. It rests to conserve energy, so that it can unleash its full power in battle. The research efforts of Dr. Fuji led him to create Mewtwo. It also appears in several movies.",Whats the type of Mewtwo?,"{'answer_start': [13], 'text': ['Psychic']}"
152,Mew,"Mew its a Psychic first generation Pokemon that This Mythical Pokemon is so rare, only a few expert worldwide have found it, though a growing number of people have reportedly seen it recently. It apparently originates in South America which were thought to be extinct. It's said that it appears only to those who have a true heart and a strong passion to see it. Its DNA is said to contain the genetic code of every Pokemon and every move. Because of this, many scientists believe that it's the ancestor of all pokemon. If you view its body under a microscope, you can see its fine, small and delicate hairs. It is capable of turning invisible at will so that people are unaware of its presence. It is considered one of the original pregenetor Pokémon, as all Pokémon descend from Mew. It fought Mewtwo during the Pokémon movies.",Whats the type of Mew?,"{'answer_start': [10], 'text': ['Psychic']}"
153,MissingNo.,"MissingNo. its a Bird[nb 9] first generation Pokemon that An error handler species, ""Missing Number"" was created to handle attempts at accessing nonexistent Pokémon species. It is regarded as one of the most famous and popular glitches in video game history.",Whats the type of MissingNo.?,"{'answer_start': [17], 'text': ['Bird[nb 9]']}"
